# Energy [eV], Time, ID Gap [mm], M2 Pitch [deg], G Pitch [deg], I0 [A] (KE6000), Is [A] (KE6000_2), Is/I0
180.000, 1782359044.229657, 18.8386, -3.0, -5.280915, 4.472827e-10, 9.390644e-11, 0.2099487415900503
180.100, 1782359047.678086, 18.8442, -3.0, -5.279673, 4.677779e-10, 8.961817e-11, 0.19158273616603094
180.200, 1782359049.22493, 18.8498, -3.0, -5.278431, 4.764457e-10, 9.18196e-11, 0.19271786900375004
180.300, 1782359050.855218, 18.8554, -3.0, -5.277188, 4.812041e-10, 9.276136e-11, 0.1927692636035312
180.400, 1782359052.379586, 18.861, -3.0, -5.27595, 4.843301e-10, 9.308381e-11, 0.1921908425679098
180.500, 1782359054.033065, 18.8666, -3.0, -5.274711, 4.870333e-10, 9.315197e-11, 0.19126406756991768
180.600, 1782359055.480153, 18.8722, -3.0, -5.273474, 4.888252e-10, 9.336475e-11, 0.19099823413359215
180.700, 1782359057.183289, 18.8778, -3.0, -5.272239, 4.904671e-10, 9.365332e-11, 0.1909472011476407
180.800, 1782359058.655395, 18.8834, -3.0, -5.271006, 4.922721e-10, 9.385104e-11, 0.19064870830583328
180.900, 1782359060.268878, 18.889, -3.0, -5.269772, 4.945324e-10, 9.399589e-11, 0.1900702360452015
181.000, 1782359061.794098, 18.8945, -3.0, -5.268541, 4.964553e-10, 9.409356e-11, 0.18953077950824573
181.100, 1782359063.417108, 18.9001, -3.0, -5.267311, 4.983614e-10, 9.422259e-11, 0.18906478310719893
181.200, 1782359064.835292, 18.9057, -3.0, -5.266081, 4.99575e-10, 9.39237e-11, 0.18800720612520644
